ValuationDate=2023-12-04
Cut=1700LON
SDKey,Status,BaseCurrency,TermCurrency,Tenor,SpotMid,SpotDate,FwdRateMid,FwdPtsMid,InterestDays,DeliveryDays,DeliveryDate,FwdPtsMidMktConvention
FX_CURVEFORWARD_ASSET:USDGBP_USDGBP_10Y,Succeeded,USD,GBP,10YR,0.791749965361,2023-12-06,0.7786973,-0.013053,3653,,2033-12-06,-130.53
FX_CURVEFORWARD_ASSET:USDGBP_USDGBP_15M,Succeeded,USD,GBP,15M,0.791749965361,2023-12-06,0.7919188,0.000169,456,,2025-03-06,1.69
FX_CURVEFORWARD_ASSET:USDGBP_USDGBP_18M,Succeeded,USD,GBP,18M,0.791749965361,2023-12-06,0.7925178,0.000768,548,,2025-06-06,7.68
FX_CURVEFORWARD_ASSET:USDGBP_USDGBP_1M,Succeeded,USD,GBP,1M,0.791749965361,2023-12-06,0.7915007,-0.000249,33,,2024-01-08,-2.49
FX_CURVEFORWARD_ASSET:USDGBP_USDGBP_1W,Succeeded,USD,GBP,1WK,0.791749965361,2023-12-06,0.7917201,-0.00003,7,,2023-12-13,-0.3
FX_CURVEFORWARD_ASSET:USDGBP_USDGBP_1Y,Succeeded,USD,GBP,12M,0.791749965361,2023-12-06,0.7914767,-0.000273,366,,2024-12-06,-2.73
FX_CURVEFORWARD_ASSET:USDGBP_USDGBP_2M,Succeeded,USD,GBP,2M,0.791749965361,2023-12-06,0.791354,-0.000396,62,,2024-02-06,-3.96
FX_CURVEFORWARD_ASSET:USDGBP_USDGBP_2W,Succeeded,USD,GBP,2WK,0.791749965361,2023-12-06,0.7916871,-0.000063,14,,2023-12-20,-0.63
FX_CURVEFORWARD_ASSET:USDGBP_USDGBP_2Y,Succeeded,USD,GBP,2YR,0.791749965361,2023-12-06,0.7937813,0.002031,733,,2025-12-08,20.31
FX_CURVEFORWARD_ASSET:USDGBP_USDGBP_3M,Succeeded,USD,GBP,3M,0.791749965361,2023-12-06,0.7912295,-0.00052,91,,2024-03-06,-5.2
FX_CURVEFORWARD_ASSET:USDGBP_USDGBP_3W,Succeeded,USD,GBP,3WK,0.791749965361,2023-12-06,0.7916498,-0.0001,21,,2023-12-28,-1
FX_CURVEFORWARD_ASSET:USDGBP_USDGBP_3Y,Succeeded,USD,GBP,3YR,0.791749965361,2023-12-06,0.7947633,0.003013,1097,,2026-12-07,30.13
FX_CURVEFORWARD_ASSET:USDGBP_USDGBP_4Y,Succeeded,USD,GBP,4YR,0.791749965361,2023-12-06,0.7942658,0.002516,1461,,2027-12-06,25.16
FX_CURVEFORWARD_ASSET:USDGBP_USDGBP_5Y,Succeeded,USD,GBP,5YR,0.791749965361,2023-12-06,0.791869,0.000119,1827,,2028-12-06,1.19
FX_CURVEFORWARD_ASSET:USDGBP_USDGBP_6M,Succeeded,USD,GBP,6M,0.791749965361,2023-12-06,0.7910238,-0.000726,183,,2024-06-06,-7.26
FX_CURVEFORWARD_ASSET:USDGBP_USDGBP_6W,Succeeded,USD,GBP,6WK,0.791749965361,2023-12-06,0.7914479,-0.000302,42,,2024-01-17,-3.02
FX_CURVEFORWARD_ASSET:USDGBP_USDGBP_7Y,Succeeded,USD,GBP,7YR,0.791749965361,2023-12-06,0.7851733,-0.006577,2557,,2030-12-06,-65.77
FX_CURVEFORWARD_ASSET:USDGBP_USDGBP_9M,Succeeded,USD,GBP,9M,0.791749965361,2023-12-06,0.7911404,-0.00061,275,,2024-09-06,-6.1
FX_CURVEFORWARD_ASSET:USDGBP_USDGBP_ON,Succeeded,USD,GBP,ON,0.791749965361,2023-12-06,0.7917589,-0.000005,-2,,2023-12-05,-0.05
FX_CURVEFORWARD_ASSET:USDGBP_USDGBP_SN,Succeeded,USD,GBP,SN,0.791749965361,2023-12-06,0.7917459,-0.000004,1,,2023-12-07,-0.04
FX_CURVEFORWARD_ASSET:USDGBP_USDGBP_TN,Succeeded,USD,GBP,TN,0.791749965361,2023-12-06,0.7917542,-0.000004,-1,,2023-12-06,-0.04
FX_CURVEFORWARD_ASSET:EURGBP_EURGBP_10Y,Succeeded,EUR,GBP,10YR,0.85692,2023-12-06,0.9768995,0.11998,3653,,2033-12-06,1199.8
FX_CURVEFORWARD_ASSET:EURGBP_EURGBP_15M,Succeeded,EUR,GBP,15M,0.85692,2023-12-06,0.8760256,0.019106,456,,2025-03-06,191.06
FX_CURVEFORWARD_ASSET:EURGBP_EURGBP_18M,Succeeded,EUR,GBP,18M,0.85692,2023-12-06,0.8801502,0.02323,548,,2025-06-06,232.3
FX_CURVEFORWARD_ASSET:EURGBP_EURGBP_1M,Succeeded,EUR,GBP,1M,0.85692,2023-12-06,0.857963,0.001043,33,,2024-01-08,10.43
FX_CURVEFORWARD_ASSET:EURGBP_EURGBP_1W,Succeeded,EUR,GBP,1WK,0.85692,2023-12-06,0.8571181,0.000198,7,,2023-12-13,1.98
FX_CURVEFORWARD_ASSET:EURGBP_EURGBP_1Y,Succeeded,EUR,GBP,12M,0.85692,2023-12-06,0.8713767,0.014457,366,,2024-12-06,144.57
FX_CURVEFORWARD_ASSET:EURGBP_EURGBP_2M,Succeeded,EUR,GBP,2M,0.85692,2023-12-06,0.858846,0.001926,62,,2024-02-06,19.26
FX_CURVEFORWARD_ASSET:EURGBP_EURGBP_2W,Succeeded,EUR,GBP,2WK,0.85692,2023-12-06,0.8573169,0.000397,14,,2023-12-20,3.97
FX_CURVEFORWARD_ASSET:EURGBP_EURGBP_2Y,Succeeded,EUR,GBP,2YR,0.85692,2023-12-06,0.8885473,0.031627,733,,2025-12-08,316.27
